Time,episode id,is success,seed,method_combi
03-29-09-16,6,0,51,XAI attention_opposite GC
03-29-09-23,4,0,52,XAI random GC
03-29-09-29,7,0,52,XAI attention_same GC
03-29-09-37,13,0,52,XAI attention_opposite GC
03-29-09-53,3,0,53,XAI random GC
03-29-09-57,6,0,53,XAI attention_same GC
03-29-10-05,2,0,53,XAI attention_opposite GC
03-29-10-08,18,0,54,XAI random GC
03-29-10-29,7,0,54,XAI attention_same GC
03-29-10-38,8,0,54,XAI attention_opposite GC
03-29-10-47,4,0,55,XAI random GC
03-29-10-53,9,0,55,XAI attention_same GC
03-29-11-04,8,0,55,XAI attention_opposite GC
03-29-11-14,2,0,56,XAI random GC
03-29-11-17,2,0,56,XAI attention_same GC
03-29-11-20,2,0,56,XAI attention_opposite GC
03-29-11-24,3,0,57,XAI random GC
03-29-11-28,10,0,57,XAI attention_same GC
03-29-11-40,4,0,57,XAI attention_opposite GC
03-29-11-46,14,0,58,XAI random GC
03-29-12-02,11,0,58,XAI attention_same GC
03-29-12-15,13,0,58,XAI attention_opposite GC
03-29-12-30,6,0,59,XAI random GC
03-29-12-38,3,0,59,XAI attention_same GC
03-29-12-43,2,0,59,XAI attention_opposite GC
03-29-12-46,9,0,60,XAI random GC
03-29-12-57,8,0,60,XAI attention_same GC
03-29-13-07,6,0,60,XAI attention_opposite GC
03-30-15-27,10,0,1,XAI random IG
03-30-15-40,10,0,1,XAI attention_same IG
03-30-15-52,3,0,1,XAI attention_opposite IG
03-30-15-57,4,0,2,XAI random IG
03-30-16-02,6,0,2,XAI attention_same IG
03-30-16-10,6,0,2,XAI attention_opposite IG
03-30-16-18,1,0,3,XAI random IG
03-30-16-20,1,0,3,XAI attention_same IG
03-30-16-23,1,0,3,XAI attention_opposite IG
03-30-16-25,4,0,4,XAI random IG
03-30-16-31,7,0,4,XAI attention_same IG
03-30-16-40,3,0,4,XAI attention_opposite IG
03-30-16-45,1,0,5,XAI random IG
03-30-16-47,1,0,5,XAI attention_same IG
03-30-16-49,5,0,5,XAI attention_opposite IG
03-30-16-56,9,0,6,XAI random IG
03-30-17-07,4,0,6,XAI attention_same IG
03-30-17-12,5,0,6,XAI attention_opposite IG
03-30-17-19,39,1,7,XAI random IG
03-30-18-03,39,1,7,XAI attention_same IG
03-30-18-48,31,0,7,XAI attention_opposite IG
03-30-19-24,22,0,8,XAI random IG
03-30-19-49,31,0,8,XAI attention_same IG
03-30-20-25,32,0,8,XAI attention_opposite IG
03-30-21-02,4,0,9,XAI random IG
03-30-21-08,3,0,9,XAI attention_same IG
03-30-21-13,8,0,9,XAI attention_opposite IG
03-30-21-23,11,0,10,XAI random IG
03-30-21-37,1,0,10,XAI attention_same IG
03-30-21-39,5,0,10,XAI attention_opposite IG
03-30-21-46,3,0,11,XAI random IG
03-30-21-51,7,0,11,XAI attention_same IG
03-30-21-59,39,1,11,XAI attention_opposite IG
03-30-22-43,3,0,12,XAI random IG
03-30-22-47,10,0,12,XAI attention_same IG
03-30-22-59,13,0,12,XAI attention_opposite IG
03-30-23-15,39,1,13,XAI random IG
03-30-23-59,39,1,13,XAI attention_same IG
03-31-00-43,39,1,13,XAI attention_opposite IG
03-31-01-26,2,0,14,XAI random IG
03-31-01-29,11,0,14,XAI attention_same IG
03-31-01-43,4,0,14,XAI attention_opposite IG
03-31-01-48,1,0,15,XAI random IG
03-31-01-50,1,0,15,XAI attention_same IG
03-31-01-52,1,0,15,XAI attention_opposite IG
03-31-01-54,4,0,16,XAI random IG
03-31-03-00,11,0,16,XAI attention_same IG
03-31-03-13,9,0,16,XAI attention_opposite IG
03-31-03-25,2,0,17,XAI random IG
03-31-03-28,3,0,17,XAI attention_same IG
03-31-03-32,8,0,17,XAI attention_opposite IG
03-31-03-42,1,0,18,XAI random IG
03-31-03-45,2,0,18,XAI attention_same IG
03-31-03-49,1,0,18,XAI attention_opposite IG
03-31-03-51,6,0,19,XAI random IG
03-31-03-59,3,0,19,XAI attention_same IG
03-31-04-04,5,0,19,XAI attention_opposite IG
03-31-04-11,16,0,20,XAI random IG
03-31-04-30,35,0,20,XAI attention_same IG
03-31-05-10,19,0,20,XAI attention_opposite IG
03-31-05-32,10,0,21,XAI random IG
03-31-05-45,2,0,21,XAI attention_same IG
03-31-05-48,2,0,21,XAI attention_opposite IG
03-31-05-52,5,0,22,XAI random IG
03-31-05-58,1,0,22,XAI attention_same IG
03-31-06-01,1,0,22,XAI attention_opposite IG
03-31-06-03,0,0,23,XAI random IG
03-31-06-04,10,0,23,XAI attention_same IG
03-31-06-17,6,0,23,XAI attention_opposite IG
03-31-06-24,39,1,24,XAI random IG
03-31-07-11,5,0,24,XAI attention_same IG
03-31-07-18,4,0,24,XAI attention_opposite IG
03-31-07-23,3,0,25,XAI random IG
03-31-07-28,5,0,25,XAI attention_same IG
03-31-07-34,6,0,25,XAI attention_opposite IG
03-31-07-42,11,0,26,XAI random IG
03-31-07-56,9,0,26,XAI attention_same IG
03-31-08-07,7,0,26,XAI attention_opposite IG
03-31-08-16,27,0,27,XAI random IG
03-31-08-46,17,0,27,XAI attention_same IG
03-31-09-06,23,0,27,XAI attention_opposite IG
03-31-09-32,3,0,28,XAI random IG
03-31-09-37,4,0,28,XAI attention_same IG
03-31-09-42,16,0,28,XAI attention_opposite IG
03-31-10-01,4,0,29,XAI random IG
03-31-10-06,16,0,29,XAI attention_same IG
03-31-10-25,36,0,29,XAI attention_opposite IG
03-31-11-07,9,0,30,XAI random IG
03-31-11-19,4,0,30,XAI attention_same IG
03-31-11-25,2,0,30,XAI attention_opposite IG
03-31-11-29,4,0,31,XAI random IG
03-31-11-34,10,0,31,XAI attention_same IG
03-31-11-47,6,0,31,XAI attention_opposite IG
03-31-11-55,4,0,32,XAI random IG
03-31-12-00,2,0,32,XAI attention_same IG
03-31-12-04,1,0,32,XAI attention_opposite IG
03-31-12-06,21,0,33,XAI random IG
03-31-12-32,39,1,33,XAI attention_same IG
03-31-13-20,39,1,33,XAI attention_opposite IG
03-31-14-08,9,0,34,XAI random IG
03-31-14-19,2,0,34,XAI attention_same IG
03-31-14-22,14,0,34,XAI attention_opposite IG
03-31-14-39,1,0,35,XAI random IG
03-31-14-41,1,0,35,XAI attention_same IG
03-31-14-44,1,0,35,XAI attention_opposite IG
03-31-14-47,7,0,36,XAI random IG
03-31-14-56,23,0,36,XAI attention_same IG
03-31-15-22,3,0,36,XAI attention_opposite IG
03-31-15-27,16,0,37,XAI random IG
03-31-15-46,6,0,37,XAI attention_same IG
03-31-15-54,14,0,37,XAI attention_opposite IG
03-31-16-11,16,0,38,XAI random IG
03-31-16-30,11,0,38,XAI attention_same IG
03-31-16-43,10,0,38,XAI attention_opposite IG
03-31-16-56,15,0,39,XAI random IG
03-31-17-13,4,0,39,XAI attention_same IG
03-31-17-19,1,0,39,XAI attention_opposite IG
03-31-17-21,1,0,40,XAI random IG
03-31-17-24,1,0,40,XAI attention_same IG
03-31-17-26,0,0,40,XAI attention_opposite IG
03-31-17-27,1,0,41,XAI random IG
03-31-17-29,35,0,41,XAI attention_same IG
03-31-18-09,39,1,41,XAI attention_opposite IG
03-31-18-54,16,0,42,XAI random IG
03-31-19-13,4,0,42,XAI attention_same IG
03-31-19-19,13,0,42,XAI attention_opposite IG
03-31-19-35,0,0,43,XAI random IG
03-31-19-36,0,0,43,XAI attention_same IG
03-31-19-37,2,0,43,XAI attention_opposite IG
03-31-19-40,4,0,44,XAI random IG
03-31-19-46,13,0,44,XAI attention_same IG
03-31-20-02,13,0,44,XAI attention_opposite IG
03-31-20-17,26,0,45,XAI random IG
03-31-20-48,11,0,45,XAI attention_same IG
03-31-21-01,5,0,45,XAI attention_opposite IG
03-31-21-08,1,0,46,XAI random IG
03-31-21-10,1,0,46,XAI attention_same IG
03-31-21-12,1,0,46,XAI attention_opposite IG
03-31-21-15,10,0,47,XAI random IG
03-31-21-27,11,0,47,XAI attention_same IG
03-31-21-40,3,0,47,XAI attention_opposite IG
03-31-21-45,4,0,48,XAI random IG
03-31-21-50,2,0,48,XAI attention_same IG
03-31-21-54,5,0,48,XAI attention_opposite IG
03-31-22-01,6,0,49,XAI random IG
03-31-22-09,7,0,49,XAI attention_same IG
03-31-22-18,7,0,49,XAI attention_opposite IG
03-31-22-27,1,0,50,XAI random IG
03-31-22-29,0,0,50,XAI attention_same IG
03-31-22-30,1,0,50,XAI attention_opposite IG
03-31-22-32,1,0,51,XAI random IG
03-31-22-34,2,0,51,XAI attention_same IG
03-31-22-38,2,0,51,XAI attention_opposite IG
03-31-22-42,8,0,52,XAI random IG
03-31-22-52,2,0,52,XAI attention_same IG
03-31-22-55,7,0,52,XAI attention_opposite IG
03-31-23-04,12,0,53,XAI random IG
03-31-23-19,15,0,53,XAI attention_same IG
03-31-23-37,2,0,53,XAI attention_opposite IG
03-31-23-40,19,0,54,XAI random IG
04-01-00-02,20,0,54,XAI attention_same IG
04-01-00-25,16,0,54,XAI attention_opposite IG
04-01-00-44,4,0,55,XAI random IG
04-01-00-49,8,0,55,XAI attention_same IG
04-01-01-00,6,0,55,XAI attention_opposite IG
04-01-01-07,4,0,56,XAI random IG
04-01-01-13,6,0,56,XAI attention_same IG
04-01-01-21,9,0,56,XAI attention_opposite IG
04-01-01-32,6,0,57,XAI random IG
04-01-01-40,10,0,57,XAI attention_same IG
04-01-01-53,12,0,57,XAI attention_opposite IG
04-01-02-07,19,0,58,XAI random IG
04-01-02-29,13,0,58,XAI attention_same IG
04-01-02-45,19,0,58,XAI attention_opposite IG
04-01-03-07,6,0,59,XAI random IG
04-01-03-15,2,0,59,XAI attention_same IG
04-01-03-18,3,0,59,XAI attention_opposite IG
04-01-03-23,8,0,60,XAI random IG
04-01-03-33,11,0,60,XAI attention_same IG
04-01-03-46,3,0,60,XAI attention_opposite IG
03-25-19-59,2,0,1,XAI random SM
03-25-20-03,12,0,1,XAI attention_same SM
03-25-20-18,3,0,1,XAI attention_opposite SM
03-25-20-23,7,0,2,XAI random SM
03-25-20-32,11,0,2,XAI attention_same SM
03-25-20-46,14,0,2,XAI attention_opposite SM
03-25-21-03,6,0,3,XAI random SM
03-25-21-12,7,0,3,XAI attention_same SM
03-25-21-21,6,0,3,XAI attention_opposite SM
03-25-21-29,4,0,4,XAI random SM
03-25-21-35,7,0,4,XAI attention_same SM
03-25-21-45,4,0,4,XAI attention_opposite SM
03-25-21-51,2,0,5,XAI random SM
03-25-21-54,1,0,5,XAI attention_same SM
03-25-21-57,1,0,5,XAI attention_opposite SM
03-25-21-59,7,0,6,XAI random SM
03-25-22-08,4,0,6,XAI attention_same SM
03-25-22-14,5,0,6,XAI attention_opposite SM
03-25-22-21,39,1,7,XAI random SM
03-25-23-06,39,1,7,XAI attention_same SM
03-25-23-51,39,1,7,XAI attention_opposite SM
03-26-00-37,22,0,8,XAI random SM
03-26-01-03,21,0,8,XAI attention_same SM
03-26-01-29,24,0,8,XAI attention_opposite SM
03-26-01-58,5,0,9,XAI random SM
03-26-02-05,3,0,9,XAI attention_same SM
03-26-02-10,3,0,9,XAI attention_opposite SM
03-26-02-15,1,0,10,XAI random SM
03-26-02-17,1,0,10,XAI attention_same SM
03-26-02-20,1,0,10,XAI attention_opposite SM
03-26-02-23,9,0,11,XAI random SM
03-26-02-34,12,0,11,XAI attention_same SM
03-26-02-49,39,1,11,XAI attention_opposite SM
03-26-03-35,5,0,12,XAI random SM
03-26-03-42,1,0,12,XAI attention_same SM
03-26-03-44,5,0,12,XAI attention_opposite SM
03-26-03-51,39,1,13,XAI random SM
03-26-04-36,39,1,13,XAI attention_same SM
03-26-05-22,39,1,13,XAI attention_opposite SM
03-26-06-10,9,0,14,XAI random SM
03-26-06-22,25,0,14,XAI attention_same SM
03-26-06-52,11,0,14,XAI attention_opposite SM
03-26-07-06,1,0,15,XAI random SM
03-26-07-08,1,0,15,XAI attention_same SM
03-26-07-10,1,0,15,XAI attention_opposite SM
03-26-07-13,13,0,16,XAI random SM
03-26-07-29,6,0,16,XAI attention_same SM
03-26-07-37,6,0,16,XAI attention_opposite SM
03-26-07-45,5,0,17,XAI random SM
03-26-07-52,3,0,17,XAI attention_same SM
03-26-07-56,3,0,17,XAI attention_opposite SM
03-26-08-01,1,0,18,XAI random SM
03-26-08-04,1,0,18,XAI attention_same SM
03-26-08-06,2,0,18,XAI attention_opposite SM
03-26-08-10,2,0,19,XAI random SM
03-26-08-14,10,0,19,XAI attention_same SM
03-26-08-27,2,0,19,XAI attention_opposite SM
03-26-08-30,14,0,20,XAI random SM
03-26-08-47,21,0,20,XAI attention_same SM
03-26-09-12,5,0,20,XAI attention_opposite SM
03-26-09-19,10,0,21,XAI random SM
03-26-09-32,2,0,21,XAI attention_same SM
03-26-09-36,2,0,21,XAI attention_opposite SM
03-26-09-40,10,0,22,XAI random SM
03-26-09-53,7,0,22,XAI attention_same SM
03-26-10-02,10,0,22,XAI attention_opposite SM
03-26-10-15,1,0,23,XAI random SM
03-26-10-18,0,0,23,XAI attention_same SM
03-26-10-19,2,0,23,XAI attention_opposite SM
03-26-10-23,15,0,24,XAI random SM
03-26-10-42,39,1,24,XAI attention_same SM
03-26-11-28,8,0,24,XAI attention_opposite SM
03-26-11-38,11,0,25,XAI random SM
03-26-11-52,9,0,25,XAI attention_same SM
03-26-12-04,39,1,25,XAI attention_opposite SM
03-26-12-50,7,0,26,XAI random SM
03-26-13-00,14,0,26,XAI attention_same SM
03-26-13-17,9,0,26,XAI attention_opposite SM
03-26-13-29,10,0,27,XAI random SM
03-26-13-42,5,0,27,XAI attention_same SM
03-26-13-49,39,1,27,XAI attention_opposite SM
03-26-14-34,3,0,28,XAI random SM
03-26-14-39,4,0,28,XAI attention_same SM
03-26-14-44,11,0,28,XAI attention_opposite SM
03-26-14-58,5,0,29,XAI random SM
03-26-15-05,2,0,29,XAI attention_same SM
03-26-15-09,17,0,29,XAI attention_opposite SM
03-26-15-30,11,0,30,XAI random SM
03-26-15-44,2,0,30,XAI attention_same SM
03-26-15-48,7,0,30,XAI attention_opposite SM
03-26-15-58,8,0,31,XAI random SM
03-26-16-08,7,0,31,XAI attention_same SM
03-26-16-18,6,0,31,XAI attention_opposite SM
03-26-16-26,1,0,32,XAI random SM
03-26-16-29,2,0,32,XAI attention_same SM
03-26-16-33,1,0,32,XAI attention_opposite SM
03-26-16-35,19,0,33,XAI random SM
03-26-16-59,2,0,33,XAI attention_same SM
03-26-17-02,16,0,33,XAI attention_opposite SM
03-26-17-22,6,0,34,XAI random SM
03-26-17-31,8,0,34,XAI attention_same SM
03-26-17-41,8,0,34,XAI attention_opposite SM
03-26-17-52,1,0,35,XAI random SM
03-26-17-55,1,0,35,XAI attention_same SM
03-26-17-57,1,0,35,XAI attention_opposite SM
03-26-18-00,30,0,36,XAI random SM
03-26-18-35,11,0,36,XAI attention_same SM
03-26-18-49,19,0,36,XAI attention_opposite SM
03-26-19-12,5,0,37,XAI random SM
03-26-19-19,14,0,37,XAI attention_same SM
03-26-19-37,14,0,37,XAI attention_opposite SM
03-26-19-54,17,0,38,XAI random SM
03-26-20-15,3,0,38,XAI attention_same SM
03-26-20-20,13,0,38,XAI attention_opposite SM
03-26-20-36,9,0,39,XAI random SM
03-26-20-48,22,0,39,XAI attention_same SM
03-26-21-15,4,0,39,XAI attention_opposite SM
03-26-21-21,0,0,40,XAI random SM
03-26-21-22,0,0,40,XAI attention_same SM
03-26-21-24,1,0,40,XAI attention_opposite SM
03-26-21-26,39,0,41,XAI random SM
03-26-22-14,13,0,41,XAI attention_same SM
03-26-22-30,14,0,41,XAI attention_opposite SM
03-26-22-47,9,0,42,XAI random SM
03-26-22-58,1,0,42,XAI attention_same SM
03-26-23-01,1,0,42,XAI attention_opposite SM
03-26-23-03,14,0,43,XAI random SM
03-26-23-20,2,0,43,XAI attention_same SM
03-26-23-24,3,0,43,XAI attention_opposite SM
03-26-23-29,3,0,44,XAI random SM
03-26-23-34,20,0,44,XAI attention_same SM
03-26-23-59,11,0,44,XAI attention_opposite SM
03-27-00-13,5,0,45,XAI random SM
03-27-00-20,5,0,45,XAI attention_same SM
03-27-18-42,1,0,45,XAI attention_opposite SM
03-27-18-49,39,1,46,XAI random SM
03-27-19-36,7,0,46,XAI attention_same SM
03-27-19-45,7,0,46,XAI attention_opposite SM
03-27-19-54,3,0,47,XAI random SM
03-27-19-59,3,0,47,XAI attention_same SM
03-27-20-04,11,0,47,XAI attention_opposite SM
03-27-20-18,2,0,48,XAI random SM
03-27-20-22,12,0,48,XAI attention_same SM
03-27-20-36,7,0,48,XAI attention_opposite SM
03-27-20-46,10,0,49,XAI random SM
03-27-20-58,3,0,49,XAI attention_same SM
03-27-21-03,7,0,49,XAI attention_opposite SM
03-27-21-12,10,0,50,XAI random SM
03-27-21-25,6,0,50,XAI attention_same SM
03-27-21-33,4,0,50,XAI attention_opposite SM
03-27-21-39,1,0,51,XAI random SM
03-27-21-42,2,0,51,XAI attention_same SM
03-27-21-46,2,0,51,XAI attention_opposite SM
03-27-21-50,3,0,52,XAI random SM
03-27-21-54,5,0,52,XAI attention_same SM
03-27-22-01,27,0,52,XAI attention_opposite SM
03-27-22-34,2,0,53,XAI random SM
03-27-22-38,2,0,53,XAI attention_same SM
03-27-22-41,20,0,53,XAI attention_opposite SM
03-27-23-06,14,0,54,XAI random SM
03-27-23-23,20,0,54,XAI attention_same SM
03-27-23-47,8,0,54,XAI attention_opposite SM
03-27-23-57,7,0,55,XAI random SM
03-28-00-06,8,0,55,XAI attention_same SM
03-28-00-17,8,0,55,XAI attention_opposite SM
03-28-00-27,8,0,56,XAI random SM
03-28-00-38,2,0,56,XAI attention_same SM
03-28-00-41,39,1,56,XAI attention_opposite SM
03-28-01-26,5,0,57,XAI random SM
03-28-01-33,16,0,57,XAI attention_same SM
03-28-01-53,2,0,57,XAI attention_opposite SM
03-28-01-57,11,0,58,XAI random SM
03-28-02-11,7,0,58,XAI attention_same SM
03-28-02-20,25,0,58,XAI attention_opposite SM
03-28-02-51,8,0,59,XAI random SM
03-28-03-01,3,0,59,XAI attention_same SM
03-28-03-06,3,0,59,XAI attention_opposite SM
03-28-03-11,9,0,60,XAI random SM
03-28-03-23,8,0,60,XAI attention_same SM
03-28-03-33,9,0,60,XAI attention_opposite SM
